"CountryName","two_room_percentage","smaller_live_births"
"Afghanistan",33.8,17.1
"Albania",54.4,9.5
"Angola",31.25,4.25
"Armenia",43.2,8.175
"Bangladesh",37.2666666666667,12.8333333333333
"Benin",37.7,10.175
"Burkina Faso",35.5666666666667,10.8
"Burundi",40.7666666666667,12.25
"Cambodia",21.25,8.525
"Cameroon",27.6,10.675
"Chad",32.1,12.15
"Comoros",42.7,14.15
"Congo",33.6,7.7
"Congo Democratic Republic",36.3,8.85
"Cote d'Ivoire",29.3,10.4
"Dominican Republic",35.9,16.65
"Egypt",60.1,12.05
"Ethiopia",24.0666666666667,9.325
"Gabon",24.4,9.85
"Gambia",24.2,11.075
"Ghana",24.6,11.55
"Guatemala",32.3,15.75
"Guinea",28.7,7.775
"Haiti",37.8,15.325
"Honduras",34.9,18.6
"India",38.9,9.1
"Indonesia",38.5,10.9
"Jordan",41.9,11.575
"Kenya",31.7,11.95
"Kyrgyz Republic",46.1,13
"Lesotho",36,10.6
"Liberia",24.275,9.975
"Malawi",39.68,11.675
"Mali",35.3333333333333,10.35
"Mozambique",38.6333333333333,12.35
"Myanmar",34.7,11.7
"Namibia",25.7,12.75
"Nepal",35.7,12.575
"Niger",41.9,18.3
"Nigeria",32.3,10.85
"Pakistan",38.4,15.95
"Papua New Guinea",34.8,14.3
"Peru",32.7666666666667,19.9833333333333
"Rwanda",41.12,13.95
"Senegal",18.8125,18.88125
"Sierra Leone",29.7333333333333,10.525
"South Africa",31.7,8.3
"Tajikistan",42.1,11.95
"Tanzania",35.975,6.875
"Timor-Leste",29,2.3
"Togo",28.95,12.45
"Turkey",44.6,14.35
"Uganda",29.48,15.025
"Yemen",32.9,33.05
"Zambia",40.85,9.425
"Zimbabwe",34.85,9.9
