"CountryName","three_media_percentage_male","five_to_nine_cigarette_percentage_male"
"Armenia",10.9,1.8
"Benin",8.3,26.4
"Burkina Faso",6.2,30.4
"Burundi",4.3,21.5
"Cambodia",9.15,13.35
"Cameroon",10.9,25.8
"Comoros",19.9,30.4
"Congo",4.1,28.5
"Congo Democratic Republic",6.1,27.8
"Cote d'Ivoire",14.3,30.7
"Dominican Republic",43,19.4
"Ethiopia",5.15,25.4
"Gabon",32.4,24
"Gambia",10.65,26.95
"Ghana",13.1,30.6
"Guatemala",47.1,8.6
"Guinea",8.45,36.8
"Haiti",13.9,26.8
"Honduras",33.9,15.3
"India",14,17.2
"Jordan",11.9,0.9
"Kenya",32.7,25.1
"Kyrgyz Republic",16.2,15.9
"Lesotho",7.5,29.5
"Liberia",8.75,22.4
"Malawi",9.75,33.7
"Maldives",12.2,15.8
"Mali",7.35,25.9
"Mozambique",9.2,24.9
"Namibia",2.2,22.5
"Nepal",14.75,24.15
"Niger",3.6,32.9
"Nigeria",13.3,28.1
"Pakistan",1.75,16.3
"Papua New Guinea",11.8,25.8
"Rwanda",7.8,20.8
"Senegal",9.52857142857143,35.95
"Sierra Leone",6.55,32.6
"South Africa",27.2,34.7
"Tanzania",17.9,29.25
"Timor-Leste",10.6,15.2
"Togo",12.3,27.2
"Uganda",12.4333333333333,24.4
"Zambia",17,27.8
"Zimbabwe",14.3,26.5
